order_id,user_id,product,category,price,quantity,order_date,country,payment_method,rating
O11608,U714,Smartwatch,Electronics,502.64,2,2023-03-12,Italy,Bank Transfer,5.0
O11532,U853,Keyboard,Accessories,621.5,4,2023-02-22,UK,Card,
O10247,U367,Router,Networking,963.1,1,2023-03-30,Canada,Bank Transfer,2.0
O11450,U787,Printer,Office,1059.08,1,2023-06-03,Germany,Card,3.0
O10212,U154,Keyboard,Accessories,1152.73,4,2023-09-21,Canada,Card,5.0
O10909,U203,Tablet,Electronics,64.55,3,2023-03-04,France,Apple Pay,5.0
O11741,U420,Tablet,Electronics,130.15,2,2023-04-03,France,PayPal,1.0
O11244,U559,Camera,Electronics,294.95,5,2023-12-28,Poland,PayPal,3.0
O11696,U373,Tablet,Electronics,995.85,1,2023-10-12,Canada,PayPal,5.0
O11182,U779,Printer,Office,269.84,5,2023-02-23,Spain,Card,2.0
O10361,U593,Smartphone,Electronics,1320.2,5,2023-04-12,France,Bank Transfer,5.0
O11473,U772,Smartphone,Electronics,859.82,2,2023-08-04,Canada,PayPal,2.0
O10678,U665,Router,Networking,953.76,3,2023-09-05,Spain,Apple Pay,3.0
O11621,U251,Router,Networking,302.77,3,2023-11-30,Poland,Card,4.0
O11089,U210,Router,Networking,1385.2,5,2023-04-24,USA,Card,2.0
O11695,U563,Camera,Electronics,1398.96,4,2023-02-14,USA,PayPal,3.0
O11847,U181,Keyboard,Accessories,750.9,2,2023-03-28,France,Card,5.0
O10987,U949,Laptop,Electronics,1016.18,4,2023-02-19,UK,Bank Transfer,1.0
O11512,U222,Speaker,Electronics,808.61,4,2023-07-13,France,Google Pay,4.0
O10111,U100,Speaker,Electronics,1116.64,5,2023-12-27,USA,Google Pay,4.0
O11487,U552,Speaker,Electronics,589.96,4,2023-03-31,Spain,Apple Pay,1.0
O11453,U249,Monitor,Electronics,342.23,2,2023-03-11,Poland,Bank Transfer,3.0
O10383,U149,Tablet,Electronics,370.57,5,2023-03-09,Spain,,4.0
O11395,U761,Smartwatch,Electronics,1060.85,2,2023-07-23,USA,PayPal,4.0
O11054,U255,Printer,Office,857.46,1,2023-05-26,UK,Apple Pay,2.0
O10755,U934,Monitor,Electronics,979.79,5,2023-10-17,Spain,Bank Transfer,3.0
O10324,U186,Camera,Electronics,669.14,2,2023-01-12,Canada,Bank Transfer,4.0
O11623,U276,Router,Networking,63.1,4,2023-10-23,Poland,Card,3.0
O10787,U410,Tablet,Electronics,1246.26,1,2023-08-25,Italy,Card,2.0
O10368,U320,Speaker,Electronics,1428.19,2,2023-04-27,USA,Bank Transfer,2.0
O11819,U563,Printer,Office,138.53,4,2023-04-17,France,Card,2.0
O10069,U191,Headphones,Electronics,1197.77,4,2023-05-23,USA,Bank Transfer,3.0
O10857,U265,Laptop,Electronics,691.3,4,2023-08-10,France,Google Pay,3.0
O11483,U816,Speaker,Electronics,828.45,2,2023-11-28,Spain,Bank Transfer,5.0
O11555,U952,Smartwatch,Electronics,1090.83,5,2023-07-05,Poland,Google Pay,1.0
O11691,U184,Speaker,Electronics,764.55,5,2023-10-14,UK,Card,2.0
O11474,U130,Laptop,Electronics,611.49,3,2023-08-08,Poland,Bank Transfer,3.0
O11798,U654,Laptop,Electronics,126.53,2,2023-05-11,Canada,Apple Pay,2.0
O10478,U402,Tablet,Electronics,,3,2023-09-08,USA,Apple Pay,
O10281,U670,Speaker,Electronics,1200.19,4,2023-12-19,UK,Apple Pay,5.0
O11647,U352,Keyboard,Accessories,733.79,2,2023-02-25,Italy,,5.0
O11556,U752,Keyboard,Accessories,1033.81,3,2023-05-01,Canada,PayPal,3.0
O11729,U399,Speaker,Electronics,913.63,5,2023-07-26,Italy,,
O10210,U868,Laptop,Electronics,1258.12,3,2023-01-18,UK,,4.0
O10297,U496,Tablet,Electronics,1495.74,1,2023-04-09,Spain,,5.0
O11884,U180,Smartphone,Electronics,1094.76,5,2023-03-10,Spain,Google Pay,2.0
O11833,U326,Router,Networking,813.89,1,2023-05-02,Italy,Card,4.0
O10651,U748,Smartwatch,Electronics,635.38,2,2023-01-16,Italy,Google Pay,4.0
O11233,U792,Monitor,Electronics,1244.96,5,2023-01-23,Canada,Apple Pay,3.0
O11502,U414,Headphones,Electronics,1031.32,2,2023-01-31,Germany,Card,5.0
O11931,U775,Monitor,Electronics,1251.6,2,2023-10-28,Canada,Bank Transfer,1.0
O10916,U466,Smartwatch,Electronics,1404.52,2,2023-05-17,Italy,Bank Transfer,2.0
O10993,U243,Smartphone,Electronics,935.78,1,2023-12-18,USA,Apple Pay,4.0
O10429,U112,Router,Networking,1145.23,2,2023-03-06,Germany,Google Pay,1.0
O11370,U510,Router,Networking,988.25,2,2023-07-22,Italy,Bank Transfer,2.0
O10239,U343,Mouse,Accessories,818.97,3,2023-08-15,Italy,Apple Pay,1.0
O10879,U370,Smartwatch,Electronics,1007.47,1,2023-04-16,UK,Google Pay,1.0
O10620,U587,Headphones,Electronics,316.96,2,2023-04-23,,PayPal,2.0
O10256,U993,Laptop,Electronics,1331.25,2,2023-04-18,USA,Google Pay,3.0
O10611,U803,Smartwatch,Electronics,852.81,3,2023-07-22,Poland,Google Pay,3.0
O10544,U536,Laptop,Electronics,436.65,4,2023-04-30,Canada,Bank Transfer,3.0
O10771,U649,Printer,Office,570.86,2,2023-12-04,Poland,PayPal,3.0
O11419,U757,Mouse,Accessories,374.21,1,2023-04-10,Canada,Bank Transfer,2.0
O11041,U359,Smartphone,Electronics,468.47,4,2023-04-28,Spain,Bank Transfer,3.0
O11789,U541,Mouse,Accessories,737.59,2,2023-11-21,Poland,Apple Pay,
O10759,U889,Monitor,Electronics,1110.07,5,2023-09-05,Poland,Apple Pay,4.0
O10382,U251,Speaker,Electronics,553.94,2,2023-03-13,France,Google Pay,3.0
O11103,U211,Smartwatch,Electronics,1198.44,2,2023-10-23,France,Google Pay,1.0
O10973,U957,Smartphone,Electronics,601.48,5,2023-07-06,Poland,Google Pay,5.0
O10352,U435,Smartwatch,Electronics,206.1,5,2023-11-04,Poland,PayPal,5.0
O11605,U522,Smartwatch,Electronics,333.46,2,2023-01-16,Germany,Apple Pay,1.0
O11825,U605,Router,Networking,932.06,5,2023-03-09,USA,Google Pay,4.0
O11036,U468,Mouse,Accessories,794.36,3,2023-08-18,Canada,Card,4.0
O11107,U324,Laptop,Electronics,1413.38,5,2023-12-21,Italy,Card,1.0
O10494,U859,Mouse,Accessories,1162.35,2,2023-06-09,Poland,Google Pay,3.0
O10393,U524,Tablet,Electronics,498.59,3,2023-03-11,Poland,Apple Pay,4.0
O11546,U356,Router,Networking,1277.22,5,2023-06-04,Germany,Card,4.0
O10464,U330,Smartwatch,Electronics,321.97,2,2023-10-29,Canada,Apple Pay,4.0
O10886,U171,Laptop,Electronics,616.11,4,2023-02-08,France,Apple Pay,3.0
O11193,U268,Smartwatch,Electronics,304.18,2,2023-04-07,Spain,Google Pay,3.0
O10366,U201,Speaker,Electronics,371.57,1,2023-10-18,UK,Google Pay,1.0
O11893,U726,Laptop,Electronics,1405.27,1,2023-08-23,Spain,Card,5.0
O11873,U939,Router,Networking,1457.41,1,2023-09-26,USA,Google Pay,4.0
O10744,U825,Mouse,Accessories,1179.96,2,2023-01-19,Germany,Bank Transfer,2.0
O10529,U140,Mouse,Accessories,375.01,4,2023-02-03,UK,PayPal,4.0
O10802,U532,Camera,Electronics,52.77,5,2023-02-17,UK,Google Pay,3.0
O11223,U689,Tablet,Electronics,1443.91,1,2023-09-26,Germany,Bank Transfer,2.0
O10366,U201,Speaker,Electronics,371.57,1,2023-10-18,UK,Google Pay,1.0
O11905,U322,Speaker,Electronics,878.15,4,2023-02-25,Italy,PayPal,2.0
O11699,U953,Smartwatch,Electronics,75.92,3,2023-08-24,USA,Apple Pay,2.0
O11544,U324,Speaker,Electronics,1393.99,2,2023-12-15,Germany,Bank Transfer,5.0
O11313,U208,Router,Networking,114.57,4,2023-06-21,UK,Google Pay,5.0
O10306,U486,Smartphone,Electronics,691.47,2,2023-07-18,Canada,Apple Pay,4.0
O11666,U841,Router,Networking,263.8,3,2023-04-14,UK,Bank Transfer,4.0
O10862,U314,Smartwatch,Electronics,1031.51,3,2023-06-30,France,Bank Transfer,2.0
O11566,U229,Smartwatch,Electronics,1275.75,4,2023-05-25,Poland,Apple Pay,3.0
O10530,U275,Keyboard,Accessories,303.07,3,2023-10-06,Germany,Bank Transfer,3.0
O10654,U248,Camera,Electronics,1113.12,4,2023-11-22,UK,Apple Pay,4.0
O11259,U700,Smartwatch,Electronics,1300.31,5,2023-10-23,Canada,Card,2.0
O10233,U500,Smartwatch,Electronics,1004.25,2,2023-06-22,Italy,Bank Transfer,3.0
O10120,U797,Keyboard,Accessories,298.42,2,2023-05-16,France,PayPal,2.0
O11697,U130,Speaker,Electronics,1138.71,1,2023-11-06,Spain,Apple Pay,5.0
O10949,U164,Camera,Electronics,668.5,3,2023-02-19,Germany,Apple Pay,3.0
O10617,U665,Router,Networking,1395.3,3,2023-11-19,Canada,PayPal,3.0
O11178,U209,Smartphone,Electronics,494.19,1,2023-07-26,UK,PayPal,5.0
O10307,U626,Laptop,Electronics,455.37,4,2023-02-15,UK,Bank Transfer,3.0
O10135,U862,Keyboard,Accessories,1281.23,4,2023-08-10,Germany,Apple Pay,3.0
O10554,U273,Laptop,Electronics,785.82,4,2023-03-17,Spain,Card,4.0
O11673,U750,Smartwatch,Electronics,165.11,1,2023-12-20,France,Apple Pay,4.0
O10583,U129,Laptop,Electronics,,5,2023-05-02,UK,Card,3.0
O11640,U503,Smartwatch,Electronics,1140.05,4,2023-10-05,UK,Google Pay,2.0
O10670,U615,Camera,Electronics,720.63,4,2023-08-06,Canada,Bank Transfer,
O10834,U303,Monitor,Electronics,150.81,5,2023-12-06,Spain,Google Pay,2.0
O10109,U630,Monitor,Electronics,1063.52,2,2023-12-12,Poland,Apple Pay,1.0
O11164,U799,Printer,Office,1083.7,1,2023-08-16,Spain,Google Pay,
O10650,U309,Laptop,Electronics,97.49,1,2023-01-13,France,PayPal,3.0
O11464,U927,Mouse,Accessories,333.88,3,2023-05-23,Canada,,2.0
O11728,U150,Monitor,Electronics,835.02,1,2023-07-10,Poland,Card,4.0
O11242,U619,Headphones,Electronics,911.65,1,2023-01-02,Italy,Card,2.0
O10211,U213,Laptop,Electronics,690.87,2,2023-04-23,Poland,PayPal,3.0
O11767,U429,Camera,Electronics,1174.52,5,2023-07-15,Spain,Apple Pay,3.0
O11120,U366,Monitor,Electronics,1322.03,1,2023-04-27,France,Bank Transfer,2.0
O10679,U835,Smartphone,Electronics,466.84,2,2023-01-15,USA,Apple Pay,3.0
O11012,U539,Keyboard,Accessories,1181.46,5,2023-12-22,France,Apple Pay,4.0
O11838,U657,Printer,Office,1230.5,1,2023-04-22,Canada,Bank Transfer,4.0
O10411,U172,Laptop,Electronics,1189.25,4,2023-01-14,Spain,PayPal,2.0
O11324,U894,Headphones,Electronics,517.05,3,2023-08-02,Canada,Card,2.0
O10782,U137,Smartphone,Electronics,989.66,1,2023-04-12,Germany,Google Pay,1.0
O11345,U582,Printer,Office,598.56,4,2023-06-01,France,PayPal,5.0
O10874,U474,Laptop,Electronics,421.62,2,2023-01-31,Germany,Bank Transfer,4.0
O11652,U996,Tablet,Electronics,380.59,5,2023-09-29,Canada,PayPal,5.0
O11278,U467,Laptop,Electronics,1132.11,2,2023-12-31,Spain,PayPal,5.0
O10785,U239,Keyboard,Accessories,1212.65,1,2023-07-15,Poland,Apple Pay,2.0
O11818,U483,Smartwatch,Electronics,160.21,3,2023-09-11,Italy,Apple Pay,4.0
O11198,U815,Camera,Electronics,371.48,2,2023-11-03,USA,Bank Transfer,4.0
O10807,U124,Monitor,Electronics,1039.17,4,2023-05-24,Poland,Google Pay,4.0
O10712,U347,Smartwatch,Electronics,244.36,1,2023-06-30,Canada,PayPal,2.0
O10607,U283,Speaker,Electronics,1123.87,4,2023-01-05,Spain,Bank Transfer,2.0
O11659,U696,Mouse,Accessories,726.12,1,2023-02-11,France,Card,3.0
O11190,U168,Monitor,Electronics,1055.4,3,2023-07-04,France,PayPal,1.0
O11225,U178,Headphones,Electronics,78.11,1,2023-03-28,USA,PayPal,2.0
O10602,U534,Speaker,Electronics,242.77,2,2023-05-19,USA,Card,4.0
O10270,U989,Smartwatch,Electronics,1328.0,3,2023-01-20,USA,Google Pay,3.0
O11384,U157,Speaker,Electronics,56.98,4,2023-09-21,Poland,,4.0
O10231,U441,Mouse,Accessories,1248.02,5,2023-12-28,Germany,Bank Transfer,1.0
O10049,U153,Speaker,Electronics,1056.53,3,2023-06-01,UK,PayPal,4.0
O10462,U360,Laptop,Electronics,33.81,1,2023-12-30,Germany,Bank Transfer,5.0
O11105,U157,Smartwatch,Electronics,906.96,1,2023-01-25,,PayPal,1.0
O10855,U192,Laptop,Electronics,82.67,2,2023-07-28,USA,Google Pay,5.0
O10693,U270,Smartphone,Electronics,1390.77,2,2023-09-12,Canada,Google Pay,1.0
O11551,U660,Smartphone,Electronics,675.13,3,2023-06-12,Italy,,2.0
O11872,U687,Headphones,Electronics,77.84,5,2023-05-24,,Google Pay,4.0
O10526,U975,Printer,Office,1482.34,2,2023-12-30,Spain,Card,2.0
O10173,U876,Tablet,Electronics,225.46,1,2023-09-30,UK,PayPal,3.0
O10720,U760,Laptop,Electronics,,5,2023-11-06,France,Card,1.0
O10414,U435,Keyboard,Accessories,484.32,1,2023-04-20,Italy,Google Pay,4.0
O10237,U843,Monitor,Electronics,1374.96,3,2023-10-22,France,,3.0
O11472,U366,Keyboard,Accessories,1191.14,5,2023-03-26,France,Card,2.0
O11335,U909,Keyboard,Accessories,1423.81,4,2023-06-27,Poland,Apple Pay,2.0
O11063,U858,Headphones,Electronics,,5,2023-11-28,USA,Bank Transfer,2.0
O10023,U602,Speaker,Electronics,1276.39,5,2023-08-06,France,Card,4.0
O11766,U679,Smartphone,Electronics,695.03,4,2023-09-30,Italy,Bank Transfer,3.0
O10063,U665,Printer,Office,571.58,2,2023-08-11,Canada,Card,4.0
O10289,U323,Headphones,Electronics,178.33,2,2023-08-21,USA,Apple Pay,5.0
O10188,U914,Headphones,Electronics,526.28,5,2023-06-08,Italy,Apple Pay,5.0
O10701,U253,Speaker,Electronics,1273.96,1,2023-02-27,UK,Card,5.0
O11814,U526,Headphones,Electronics,1017.8,4,2023-03-13,Germany,Card,3.0
O11137,U787,Camera,Electronics,27.61,3,2023-03-31,Germany,PayPal,2.0
O10354,U274,Monitor,Electronics,251.12,5,2023-03-27,USA,Apple Pay,4.0
O10416,U178,Camera,Electronics,120.9,2,2023-01-25,Spain,Google Pay,
O11245,U760,Mouse,Accessories,1286.88,2,2023-12-08,UK,PayPal,1.0
O10930,U291,Monitor,Electronics,1415.14,3,2023-03-02,Poland,Apple Pay,1.0
O10196,U898,Camera,Electronics,1066.71,2,2023-04-02,USA,Apple Pay,4.0
O10579,U518,Smartphone,Electronics,230.36,1,2023-09-25,Poland,Apple Pay,3.0
O11134,U233,Laptop,Electronics,425.07,2,2023-08-03,France,Bank Transfer,4.0
O11813,U563,Tablet,Electronics,750.01,5,2023-07-08,Spain,Card,5.0
O11934,U527,Smartwatch,Electronics,625.9,2,2023-07-03,France,Google Pay,3.0
O10433,U843,Tablet,Electronics,500.52,4,2023-03-23,Germany,Bank Transfer,5.0
O10100,U990,Smartwatch,Electronics,683.7,3,2023-01-25,Spain,Bank Transfer,2.0
O11654,U677,Smartwatch,Electronics,1184.14,5,2023-06-10,USA,Apple Pay,5.0
O10394,U616,Speaker,Electronics,674.77,4,2023-05-10,Germany,Apple Pay,1.0
O11938,U265,Keyboard,Accessories,664.89,4,2023-09-01,Canada,Bank Transfer,4.0
O10220,U480,Smartwatch,Electronics,327.67,3,2023-04-22,UK,Card,5.0
O11675,U816,Mouse,Accessories,1114.42,2,2023-01-08,Poland,Card,2.0
O11497,U852,Mouse,Accessories,825.28,4,2023-10-18,UK,Apple Pay,4.0
O11784,U868,Smartphone,Electronics,1222.37,5,2023-09-06,USA,PayPal,5.0
O10344,U786,Keyboard,Accessories,268.08,1,2023-04-17,France,Card,4.0
O11027,U772,Tablet,Electronics,1015.31,5,2023-04-22,UK,PayPal,4.0
O10888,U505,Printer,Office,746.33,2,2023-07-27,Italy,Apple Pay,4.0
O11350,U326,Camera,Electronics,677.39,3,2023-11-19,Spain,PayPal,5.0
O10552,U544,Smartphone,Electronics,742.79,5,2023-07-20,UK,Apple Pay,1.0
O10743,U168,Printer,Office,657.2,4,2023-11-30,Canada,Bank Transfer,1.0
O11541,U897,Camera,Electronics,338.89,2,2023-12-05,Canada,Apple Pay,3.0
O10538,U453,Mouse,Accessories,20.28,3,2023-04-01,UK,Bank Transfer,3.0
O10906,U523,Keyboard,Accessories,843.56,5,2023-12-07,Poland,Bank Transfer,5.0
O11394,U664,Smartwatch,Electronics,911.34,2,2023-11-22,Italy,Bank Transfer,4.0
O10115,U775,Monitor,Electronics,1388.47,4,2023-08-17,UK,Bank Transfer,3.0
O10829,U835,Router,Networking,1236.31,2,2023-11-14,Germany,Apple Pay,3.0
O11937,U209,Smartphone,Electronics,1411.47,3,2023-07-13,Germany,Apple Pay,1.0
O10808,U604,Mouse,Accessories,1051.97,1,2023-04-03,Italy,Bank Transfer,5.0
O11310,U156,Monitor,Electronics,231.37,2,2023-07-17,Italy,Apple Pay,2.0
O11004,U421,Printer,Office,1495.43,2,2023-03-30,Poland,Bank Transfer,3.0
O10305,U408,Laptop,Electronics,294.58,1,2023-04-03,UK,Google Pay,2.0
O11100,U565,Monitor,Electronics,990.74,3,2023-10-28,Spain,Card,1.0
O10479,U500,Laptop,Electronics,1401.01,5,2023-06-10,Canada,Card,4.0
O11423,U161,Smartphone,Electronics,985.38,3,2023-04-24,Spain,Bank Transfer,2.0
O11075,U166,Smartwatch,Electronics,1285.11,5,2023-05-27,USA,Bank Transfer,3.0
O10570,U552,Speaker,Electronics,1239.21,4,2023-09-07,Germany,Google Pay,1.0
O10618,U293,Smartwatch,Electronics,956.17,5,2023-07-23,France,Apple Pay,2.0
O11897,U176,Printer,Office,815.32,1,2023-02-22,France,Google Pay,3.0
O11265,U688,Monitor,Electronics,43.72,4,2023-03-23,France,Bank Transfer,5.0
O10078,U984,Laptop,Electronics,674.68,1,2023-08-25,Italy,Bank Transfer,4.0
O11911,U666,Camera,Electronics,995.95,1,2023-10-15,Italy,PayPal,5.0
O10032,U417,Speaker,Electronics,1293.88,3,2023-05-17,Canada,Apple Pay,2.0
O11537,U140,Tablet,Electronics,760.43,3,2023-07-29,Poland,,2.0
O11033,U119,Tablet,Electronics,461.15,5,2023-05-17,Germany,Card,4.0
O11562,U539,Smartphone,Electronics,1241.37,5,2023-11-27,Italy,Apple Pay,3.0
O10351,U527,Tablet,Electronics,878.57,3,2023-06-27,,Apple Pay,3.0
O10163,U998,Printer,Office,,1,2023-09-04,Canada,PayPal,3.0
O10203,U862,Monitor,Electronics,689.28,3,2023-12-30,Italy,Bank Transfer,1.0
O11053,U855,Speaker,Electronics,165.92,5,2023-10-19,France,PayPal,1.0
O11364,U474,Tablet,Electronics,1007.06,3,2023-11-21,Germany,Google Pay,3.0
O11605,U522,Smartwatch,Electronics,333.46,2,2023-01-16,Germany,Apple Pay,1.0
O10495,U591,Keyboard,Accessories,209.42,5,2023-06-03,Germany,,4.0
O11624,U732,Mouse,Accessories,1417.81,3,2023-07-04,Italy,Bank Transfer,3.0
O10585,U771,Tablet,Electronics,1143.84,3,2023-02-17,Canada,Bank Transfer,3.0
O10969,U147,Camera,Electronics,44.56,3,2023-04-26,Poland,Bank Transfer,2.0
O10610,U201,Smartphone,Electronics,891.32,2,2023-08-16,Canada,Card,3.0
O10432,U609,Smartphone,Electronics,,5,2023-10-09,Canada,Apple Pay,2.0
O11491,U539,Printer,Office,884.91,5,2023-12-25,France,Card,3.0
O10218,U281,Speaker,Electronics,1286.43,3,2023-06-14,Italy,Apple Pay,2.0
O11930,U816,Smartphone,Electronics,119.52,2,2023-04-21,Italy,Apple Pay,4.0
O11465,U771,Speaker,Electronics,1389.1,2,2023-07-11,Spain,Google Pay,2.0
O10630,U832,Printer,Office,452.92,3,2023-04-28,Poland,Google Pay,3.0
O11381,U189,Speaker,Electronics,1306.64,3,2023-06-15,Spain,Apple Pay,2.0
O11301,U330,Speaker,Electronics,1482.42,2,2023-10-24,France,Bank Transfer,5.0
O10059,U319,Keyboard,Accessories,1157.46,1,2023-06-21,France,Google Pay,3.0
O10298,U174,Speaker,Electronics,800.0,5,2023-06-06,Germany,PayPal,2.0
O11710,U402,Camera,Electronics,1325.71,5,2023-09-08,Canada,Card,1.0
O10073,U295,Smartwatch,Electronics,339.42,5,2023-04-13,Canada,PayPal,5.0
O10162,U942,Camera,Electronics,384.02,4,2023-12-16,Canada,PayPal,1.0
O11274,U435,Router,Networking,1158.21,4,2023-04-14,Italy,PayPal,5.0
O11593,U756,Smartwatch,Electronics,829.65,2,2023-12-23,Germany,PayPal,1.0
O11433,U721,Laptop,Electronics,1184.03,2,2023-11-29,USA,Google Pay,3.0
O11612,U191,Router,Networking,764.12,2,2023-01-10,Spain,Apple Pay,4.0
O10591,U976,Camera,Electronics,848.34,4,2023-04-23,Canada,Bank Transfer,
O10316,U215,Router,Networking,1326.15,1,2023-03-18,France,Apple Pay,3.0
O10045,U514,Headphones,Electronics,223.53,4,2023-05-31,France,Apple Pay,5.0
O11719,U619,Camera,Electronics,468.75,5,2023-12-11,Spain,Google Pay,2.0
O11831,U486,Printer,Office,1135.34,1,2023-06-25,UK,Google Pay,5.0
O10427,U744,Smartwatch,Electronics,1244.76,5,2023-03-27,France,Apple Pay,1.0
O10581,U507,Keyboard,Accessories,339.76,1,2023-10-06,Germany,Apple Pay,4.0
O10076,U445,Smartphone,Electronics,420.83,4,2023-02-27,Italy,Apple Pay,1.0
O11916,U185,Laptop,Electronics,454.58,3,2023-10-29,France,PayPal,3.0
O11414,U198,Headphones,Electronics,1017.95,3,2023-12-19,Italy,Apple Pay,2.0
O10780,U921,Router,Networking,763.89,5,2023-12-29,UK,Google Pay,1.0
O11919,U580,Router,Networking,263.5,4,2023-09-11,Italy,Google Pay,1.0
O11173,U164,Mouse,Accessories,1358.12,3,2023-11-24,Canada,Google Pay,
O11319,U769,Keyboard,Accessories,270.36,1,2023-07-16,Spain,Card,3.0
O10937,U996,Speaker,Electronics,191.24,1,2023-03-17,USA,Google Pay,3.0
O10030,U605,Headphones,Electronics,296.12,3,2023-05-08,UK,Google Pay,1.0
O11091,U332,Camera,Electronics,1249.32,4,2023-08-04,Spain,Apple Pay,4.0
O11615,U871,Printer,Office,919.64,2,2023-12-08,Italy,Google Pay,3.0
O11229,U117,Speaker,Electronics,121.29,4,2023-10-05,France,Card,2.0
O10974,U403,Tablet,Electronics,1176.79,3,2023-08-27,Italy,Google Pay,4.0
O11084,U210,Router,Networking,102.02,3,2023-06-09,Germany,Apple Pay,3.0
O10514,U337,Printer,Office,482.28,1,2023-02-16,Poland,Bank Transfer,3.0
O11550,U377,Monitor,Electronics,1014.64,2,2023-10-29,Canada,PayPal,4.0
O11567,U322,Speaker,Electronics,694.09,4,2023-05-23,Italy,Bank Transfer,3.0
O11810,U246,Speaker,Electronics,40.01,5,2023-08-16,Italy,PayPal,
O11573,U702,Keyboard,Accessories,1253.12,1,2023-02-21,Canada,PayPal,4.0
O10044,U650,Speaker,Electronics,278.06,1,2023-05-08,France,Bank Transfer,5.0
